Metric,Value
Risk Per Trade,1.00%
ATR Stop Multiplier,2.0x
Min Stop Distance,0.5%
Max Bars in Trade,78
Min ATR Percentile,50th
ATR Percentile Lookback,100
,
Total Trades,58
Winning Trades,19
Losing Trades,39
Win Rate,32.76%
 ,
Stop Loss Exits,37
Time Stop Exits,21
Normal Exits,0
Avg Bars Held,39.6
  ,
Average Win,$400.89
Average Loss,$-131.01
Largest Win,$1074.42
Largest Loss,$-166.41
Max Consecutive Wins,3
Max Consecutive Losses,8
Profit Factor,1.49
Gross P&L,$2507.38
Fees,$1141.11
   ,
Initial Capital,$10000.00
Final Capital,$12507.38
Total P&L,$2507.38
    ,
Strategy Return,25.07%
Buy & Hold Return,N/A
Alpha (vs Buy & Hold),N/A
     ,
Sharpe Ratio (Annualized),8.65
Max Drawdown,-12.36%
