type,entry_price,exit_price,position_size,gross_pnl,fees,pnl,pnl_pct,capital_before,capital_after,exit_reason,bars_held,date
short,32.619998931884766,31.920000076293945,251.62465170363674,176.13696823098448,16.239854771386028,159.89711345959844,2.145919308742217,10000.0,10159.897113459598,time_stop,78,2020-06-28
short,31.44499969482422,30.114999771118164,285.11599374476026,379.2042499279071,17.551740422659073,361.652509505248,4.229607049177265,10159.897113459598,10521.549622964845,time_stop,78,2020-11-09
long,30.899999618530273,33.350101470947266,226.61120924675427,555.2205435539273,14.55979310211271,540.6607504518146,7.929132306356745,10521.549622964845,11062.21037341666,time_stop,78,2021-01-30
long,33.390098571777344,32.91032954624721,230.57366742659585,-110.6221037341666,15.287132863126317,-125.90923659729292,-1.4368601652935853,11062.21037341666,10936.301136819366,stop_loss,73,2021-04-16
short,32.91999816894531,33.22980172293527,332.2084369717856,-102.91935443930828,21.97552162807804,-124.89487606738632,-0.9410801069916541,10936.301136819366,10811.406260751979,stop_loss,0,2021-04-18
short,32.935001373291016,33.308956146240234,289.1099951870414,-108.1140626075198,19.151790239642256,-127.26585284716205,-1.1354326927476066,10811.406260751979,10684.140407904817,stop_loss,69,2021-06-30
long,33.43000030517578,33.04955782209124,280.8345777075203,-106.84140407904817,18.66975863285358,-125.51116271190176,-1.138027160070476,10684.140407904817,10558.629245192915,stop_loss,1,2021-07-03
long,33.11000061035156,32.59488732474191,204.9768379143334,-105.58629245192915,13.467980164451095,-119.05427261638025,-1.5557634434129386,10558.629245192915,10439.574972576534,stop_loss,6,2021-07-13
short,32.56999969482422,31.760000228881836,216.5245179497369,175.38474390271875,13.929022223187065,161.45572167953168,2.4869495656492213,10439.574972576534,10601.030694256066,time_stop,78,2021-10-01
short,31.719999313354492,30.100000381469727,207.86247627530497,336.73698954491647,12.85005821990476,323.8869313250117,5.107184637304596,10601.030694256066,10924.917625581078,time_stop,78,2021-12-20
short,29.9955997467041,30.454400743756974,238.1188727957818,-109.24917625581078,14.394285977293048,-123.64346223310383,-1.5295610053714048,10924.917625581078,10801.274163347975,stop_loss,4,2021-12-26
